County,"Quarterly Avg
Employment 
(2024 1st Q)","Quarterly Avg
Employment 
(2023 1st Q)","Quarterly Avg
Employment 
(2022 1st Q)","Quarterly Avg
Employment 
(2021 1st Q)","Quarterly Avg
Employment 
(2020 1st Q)","Difference in
Employment 
2020-2024","2024 Avg
Yearly Wage","2023 Avg
Yearly Wage","2022 Avg
Yearly Wage","2021 Avg
Yearly Wage","2020 Avg
Yearly Wage","Difference in
Wages 1st Q
2020-2024","2024 Total
Establishments","2023 Total
Establishments","2022 Total
Establishments","2021 Total
Establishments","2020 Total
Establishments","Difference
 in Total
Establishments
 1st Q 2020-2024","Statewide sum
Difference
In Employment
2020-2024","Avg
Difference
In Wages
Statewide
2020-2024","Statewide sum
Difference
In Total 
Establishments
2020-2024","Avg Difference
in Wages
Statewide
normalized
by total 
employment"
San Luis Obispo County,12124,12182,12133,9682,12144,-20,27716,26416,25116,22100,21580,6136,729,702,696,679,698,31,,,,
San Mateo County,25975,25645,24374,17961,26429,-454,37908,35828,32864,28652,30056,7852,1640,1594,1573,1572,1628,12,,,,
Santa Barbara County,17814,18000,17488,13051,17362,452,29952,28912,27352,24128,22984,6968,952,935,904,904,914,38,,,,
Santa Clara County,63080,63189,59445,44632,66459,-3379,34840,33592,30264,26416,28288,6552,3990,3875,3795,3752,3868,122,,,,
Santa Cruz County,9146,9200,9178,6853,9584,-438,30368,28600,27716,24284,22568,7800,541,525,518,512,526,15,,,,
Shasta County,4873,4949,4910,4438,4840,33,25220,24128,22516,20904,19604,5616,305,300,311,302,290,15,,,,
Sierra County,34,28,23,No Data,31,3,20124,21996,25844,No Data,16016,4108,12,8,8,No Data,7,5,,,,
Siskiyou County,893,936,898,700,853,40,31668,27664,28444,22932,22568,9100,81,80,75,77,79,2,,,,
Solano County,12216,12197,11504,9651,11824,392,27716,27508,25324,22672,21996,5720,722,698,671,651,661,61,,,,
Sonoma County,15950,15522,15479,11361,15919,32,31824,30576,27872,24492,24128,7696,989,958,951,946,967,22,,,,
Stanislaus County,17042,17333,16774,13644,15362,1679,28704,26572,24284,22464,19240,9464,885,845,835,802,806,79,,,,
Sutter County,2696,2930,2949,2398,2763,-67,25532,23348,21684,20540,19656,5876,165,160,149,154,158,7,,,,
Tehama County,1094,1072,1188,1060,1179,-86,25636,24024,21476,19344,18200,7436,98,88,89,88,83,15,,,,
Trinity County,107,120,130,140,No Data,#VALUE!,21060,19760,17212,18460,No Data,#VALUE!,20,19,19,20,No Data,#VALUE!,,,,
Tulare County,11697,11804,11485,9162,10420,1277,24700,23556,21528,19760,20904,3796,678,653,622,589,589,89,,,,
Tuolumne County,1370,1312,1323,1110,1316,54,25844,24388,22672,20904,19188,6656,108,105,104,105,112,-4,,,,
Ventura County,28727,28697,27593,22626,27949,778,28496,27664,25532,22204,21684,6812,1539,1472,1436,1408,1428,111,,,,
Yolo County,6026,5937,5711,4673,6088,-62,26364,25896,23660,21372,19812,6552,370,349,334,337,344,26,,,,
Yuba County,1013,1127,1071,972,1012,1,25428,22516,20384,19344,18148,7280,70,65,64,63,68,2,,,,
Unknown Or Undefined,2004,1944,1943,1372,No Data,#VALUE!,77324,68016,47892,43420,No Data,#VALUE!,264,247,234,182,No Data,#VALUE!,,,,
Alpine County,No Data,35,No Data,No Data,25,#VALUE!,No Data,32708,No Data,No Data,17420,#VALUE!,No Data,3,No Data,No Data,4,#VALUE!,,,,
Del Norte County,No Data,No Data,433,387,464,#VALUE!,No Data,No Data,25636,22048,18512,#VALUE!,No Data,No Data,32,34,34,#VALUE!,,,,
Modoc County,No Data,No Data,No Data,110,119,#VALUE!,No Data,No Data,No Data,16796,16900,#VALUE!,No Data,No Data,No Data,17,18,#VALUE!,,,,
